date,country,country_name,area,region,values.Retail & recreation,values.Grocery & pharmacy,values.Parks,values.Transit stations,values.Workplace,values.Residential
2020-03-29,US,United States,Texas,Anderson County,-23%,+1%,n/a,-17%,-22%,+11%
2020-03-29,US,United States,Texas,Andrews County,-28%,-22%,n/a,+32%,-33%,n/a
2020-03-29,US,United States,Texas,Angelina County,-38%,-9%,-45%,-25%,-25%,+12%
2020-03-29,US,United States,Texas,Aransas County,-48%,-31%,-67%,n/a,-29%,+10%
2020-03-29,US,United States,Texas,Archer County,n/a,n/a,n/a,n/a,-27%,n/a
2020-03-29,US,United States,Texas,Atascosa County,-23%,-24%,n/a,-65%,-24%,+17%
2020-03-29,US,United States,Texas,Austin County,-32%,-6%,n/a,n/a,-24%,+1%
2020-03-29,US,United States,Texas,Bailey County,-29%,-14%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,Texas,Bandera County,-25%,+15%,-36%,n/a,-35%,n/a
2020-03-29,US,United States,Texas,Bastrop County,-32%,-24%,-14%,n/a,-34%,+12%
2020-03-29,US,United States,Texas,Bee County,-46%,-35%,n/a,n/a,-27%,-1%
2020-03-29,US,United States,Texas,Bell County,-37%,-24%,+8%,-34%,-33%,+10%
2020-03-29,US,United States,Texas,Bexar County,-47%,-23%,-46%,-46%,-38%,+13%
2020-03-29,US,United States,Texas,Blanco County,-41%,-10%,-50%,n/a,-39%,n/a
2020-03-29,US,United States,Texas,Bosque County,-26%,+0%,n/a,n/a,-17%,n/a
2020-03-29,US,United States,Texas,Bowie County,-44%,-20%,-11%,-18%,-32%,+10%
2020-03-29,US,United States,Texas,Brazoria County,-39%,-21%,+9%,-24%,-30%,+13%
2020-03-29,US,United States,Texas,Brazos County,-50%,-28%,-37%,-60%,-39%,+14%
2020-03-29,US,United States,Texas,Brewster County,-52%,-37%,n/a,n/a,-28%,n/a
2020-03-29,US,United States,Texas,Brooks County,-53%,-14%,n/a,-43%,-31%,n/a
2020-03-29,US,United States,Texas,Brown County,-34%,-18%,n/a,n/a,-21%,+12%
2020-03-29,US,United States,Texas,Burleson County,-26%,+0%,n/a,n/a,-24%,n/a
2020-03-29,US,United States,Texas,Burnet County,-27%,-15%,+8%,n/a,-36%,+15%
2020-03-29,US,United States,Texas,Caldwell County,-35%,-36%,n/a,-35%,-36%,+17%
2020-03-29,US,United States,Texas,Calhoun County,-35%,-20%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Callahan County,-26%,-5%,n/a,-18%,-8%,n/a
2020-03-29,US,United States,Texas,Cameron County,-61%,-41%,-70%,-62%,-37%,+17%
2020-03-29,US,United States,Texas,Camp County,-11%,-4%,n/a,n/a,-13%,n/a
2020-03-29,US,United States,Texas,Carson County,n/a,-28%,n/a,-20%,-30%,n/a
2020-03-29,US,United States,Texas,Cass County,-28%,+4%,n/a,-20%,-23%,+6%
2020-03-29,US,United States,Texas,Castro County,n/a,-14%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Chambers County,-42%,-19%,n/a,-39%,-27%,+20%
2020-03-29,US,United States,Texas,Cherokee County,-22%,-5%,n/a,n/a,-22%,+12%
2020-03-29,US,United States,Texas,Childress County,-25%,-31%,n/a,-11%,-32%,n/a
2020-03-29,US,United States,Texas,Clay County,-53%,n/a,n/a,-10%,-24%,n/a
2020-03-29,US,United States,Texas,Coke County,n/a,-21%,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Texas,Coleman County,-18%,-16%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Texas,Collin County,-50%,-33%,-11%,-37%,-45%,+14%
2020-03-29,US,United States,Texas,Colorado County,-36%,-8%,n/a,-31%,-18%,n/a
2020-03-29,US,United States,Texas,Comal County,-47%,-33%,-30%,-10%,-36%,+12%
2020-03-29,US,United States,Texas,Comanche County,-9%,-22%,n/a,n/a,-25%,n/a
2020-03-29,US,United States,Texas,Cooke County,-28%,-3%,-8%,-33%,-32%,+16%
2020-03-29,US,United States,Texas,Coryell County,-29%,-18%,+35%,n/a,-27%,+11%
2020-03-29,US,United States,Texas,Crane County,-39%,-27%,n/a,n/a,-37%,n/a
2020-03-29,US,United States,Texas,Crockett County,n/a,-27%,n/a,n/a,n/a,n/a
